active,item_id,name,brand,category,price,original_price,discount,badge,specs,keywords,variants,link_shopee,in_stock,updated_at
True,44472616843,Combo 2 nước giặt Pano 1.8kg hương nước hoa Pháp giặt tay giặt máy sạch sâu vết bẩn an toàn da tay,PANO,Nước giặt,122550,129000,0.05,STANDARD,Combo 2 nước giặt Pano 1.8kg hương nước hoa Pháp giặt tay giặt máy sạch sâu vết bẩn an toàn da tay,1.8kg; nước giặt; pano,PANO,https://shopee.vn/Combo-2-nước-giặt-Pano-1.8kg-hương-nước-hoa-Pháp-giặt-tay-giặt-máy-sạch-sâu-vết-bẩn-an-toàn-da-tay-i.20523065.44472616843,True,2026-08-18 00:00:00
True,24281041930,[TẶNG KÈM] 3 gói nước xả vải Bột giặt Oplus Hương hoa trắng xạ hương Tiết kiệm nước sạch vết bẩn ít cặn Túi 2kg,Oplus,Tẩy rửa & Giặt giũ,72150,111000,0.35,STANDARD,[TẶNG KÈM] 3 gói nước xả vải Bột giặt Oplus Hương hoa trắng xạ hương Tiết kiệm nước sạch vết bẩn ít cặn Túi 2kg,oplus; tẩy rửa & giặt giũ,Oplus,https://shopee.vn/-TẶNG-KÈM-3-gói-nước-xả-vải-Bột-giặt-Oplus-Hương-hoa-trắng-xạ-hương-Tiết-kiệm-nước-sạch-vết-bẩn-ít-cặn-Túi-2kg-i.20523065.24281041930,True,2026-08-18 00:00:00
True,20819334417,Nước giặt 2in1 Oplus Hương nước hoa Pháp Sạch sâu mềm vải không cần nước xả Can 1kg,Oplus,Nước giặt,60720,69000,0.12,STANDARD,Nước giặt 2in1 Oplus Hương nước hoa Pháp Sạch sâu mềm vải không cần nước xả Can 1kg,2in1; nước giặt; oplus,Oplus,https://shopee.vn/Nước-giặt-2in1-Oplus-Hương-nước-hoa-Pháp-Sạch-sâu-mềm-vải-không-cần-nước-xả-Can-1kg-i.20523065.20819334417,True,2026-08-18 00:00:00
True,55861226781,Nước giặt xả 2in1 Oplus Hương nước hoa Pháp Sạch sâu mềm vải không cần nước xả Túi 1.8kg,Oplus,Nước giặt,77727,119580,0.35,STANDARD,Nước giặt xả 2in1 Oplus Hương nước hoa Pháp Sạch sâu mềm vải không cần nước xả Túi 1.8kg,1.8kg; 2in1; nước giặt; oplus,Oplus,https://shopee.vn/Nước-giặt-xả-2in1-Oplus-Hương-nước-hoa-Pháp-Sạch-sâu-mềm-vải-không-cần-nước-xả-Túi-1.8kg-i.20523065.55861226781,True,2026-08-18 00:00:00
True,54212683981,Nước rửa chén Pano can 3.8kg hương chanh tự nhiên cho nhà hàng quán ăn sạch dầu mỡ khử mùi tanh da tay,PANO,Nước rửa chén,76050,117000,0.35,STANDARD,Nước rửa chén Pano can 3.8kg hương chanh tự nhiên cho nhà hàng quán ăn sạch dầu mỡ khử mùi tanh da tay,can 3.8kg; nước rửa chén; pano,PANO,https://shopee.vn/Nước-rửa-chén-Pano-can-3.8kg-hương-chanh-tự-nhiên-cho-nhà-hàng-quán-ăn-sạch-dầu-mỡ-khử-mùi-tanh-da-tay-i.20523065.54212683981,True,2026-08-18 00:00:00
True,21319337822,Bột giặt Nước hoa ZeO Hương hoa trắng xạ hương Sạch vết bẩn cứng đầu lưu hương kép Gói 720g 750g,ZeO,Bột giặt,36400,45500,0.2,STANDARD,Bột giặt Nước hoa ZeO Hương hoa trắng xạ hương Sạch vết bẩn cứng đầu lưu hương kép Gói 720g 750g,bột giặt; zeo,ZeO,https://shopee.vn/Bột-giặt-Nước-hoa-ZeO-Hương-hoa-trắng-xạ-hương-Sạch-vết-bẩn-cứng-đầu-lưu-hương-kép-Gói-720g-750g-i.20523065.21319337822,True,2026-08-18 00:00:00
True,28006686405,[SẠCH SÂU - TIẾT KIỆM] Nước giặt xả 2in1 Oplus Hương nước hoa Pháp Mềm vải lưu hương lâu Can 3.1kg 3.5kg,Oplus,Nước giặt,129390,227000,0.43,STANDARD,[SẠCH SÂU - TIẾT KIỆM] Nước giặt xả 2in1 Oplus Hương nước hoa Pháp Mềm vải lưu hương lâu Can 3.1kg 3.5kg,2in1; nước giặt; oplus,Oplus,https://shopee.vn/-SẠCH-SÂU-TIẾT-KIỆM-Nước-giặt-xả-2in1-Oplus-Hương-nước-hoa-Pháp-Mềm-vải-lưu-hương-lâu-Can-3.1kg-3.5kg-i.20523065.28006686405,True,2026-08-18 00:00:00
True,40823425194,Nước giặt Pano combo 2 gói 1 8kg tặng nước rửa chén 400g hương hoa tươi mát giặt tay giặt máy sạch sâu vết bẩn,PANO,Nước giặt,120640,251333,0.52,STANDARD,Nước giặt Pano combo 2 gói 1 8kg tặng nước rửa chén 400g hương hoa tươi mát giặt tay giặt máy sạch sâu vết bẩn,nước giặt; pano,PANO,https://shopee.vn/Nước-giặt-Pano-combo-2-gói-1-8kg-tặng-nước-rửa-chén-400g-hương-hoa-tươi-mát-giặt-tay-giặt-máy-sạch-sâu-vết-bẩn-i.20523065.40823425194,True,2026-08-18 00:00:00
True,14789198137,Nước giặt ZeO Matic 3in1 2.2kg hương táo xạ hương gỗ cho máy giặt cửa trước cửa trên sạch khuẩn khử mùi,ZeO,Nước giặt,89000,175000,0.49,STANDARD,Nước giặt ZeO Matic 3in1 2.2kg hương táo xạ hương gỗ cho máy giặt cửa trước cửa trên sạch khuẩn khử mùi,nước giặt; zeo,ZeO,https://shopee.vn/Nước-giặt-ZeO-Matic-3in1-2.2kg-hương-táo-xạ-hương-gỗ-cho-máy-giặt-cửa-trước-cửa-trên-sạch-khuẩn-khử-mùi-i.20523065.14789198137,True,2026-08-18 00:00:00
True,53011222501,[COMBO] 4 túi Nước giặt xả 2in1 Oplus Hương nước hoa Pháp Sạch sâu mềm vải thơm lâu 4 túi tổng 7.2kg,Oplus,Nước giặt,257592,585436,0.56,STANDARD,[COMBO] 4 túi Nước giặt xả 2in1 Oplus Hương nước hoa Pháp Sạch sâu mềm vải thơm lâu 4 túi tổng 7.2kg,2in1; nước giặt; oplus,Oplus,https://shopee.vn/-COMBO-4-túi-Nước-giặt-xả-2in1-Oplus-Hương-nước-hoa-Pháp-Sạch-sâu-mềm-vải-thơm-lâu-4-túi-tổng-7.2kg-i.20523065.53011222501,True,2026-08-18 00:00:00
